1つ	ヒトツ
お談義	オダンギ
お貰	オモライ
お貰い	オモライ
お転婆	オテンバ
お辞儀	オジギ
お酌	オシャク
お金	オカネ
お釣	オツリ
お門ちがい	オカドチガイ
お陰	オカゲ
かい	カイ
かいわれ	カイワレ
かえて	カエテ
かかり	カカリ
かかりつけ	カカリツケ
かがやき	カガヤキ
かき	カキ
かき餅	カキモチ
かぎ	カギ
かく	カク
かくした	カクシタ
かくし子	カクシゴ
かくよう	カクヨウ
かけ	カケ
かげま	カゲマ
かご	カゴ
かさ	カサ
かし	カシ
かしく	カシク
かしら	カシラ
かじ	カジ
かす	カス
かすたーど	カスタード
かすと	カスト
かたがた	カタガタ
かたち	カタチ
かったん	カッタン
かって口	カッテグチ
かとん	カトン
かど地	カドチ
かな	カナ
かなしみ	カナシミ
かなめ	カナメ
かなり	カナリ
かに	カニ
かね	カネ
かぼちゃ	カボチャ
かみさん	カミサン
かむ	カム
かめ	カメ
からあげ	カラアゲ
からかい	カラカイ
からくり	カラクリ
からだ	カラダ
からっぽ	カラッポ
かり取	カリトリ
かわら	カワラ
かわり	カワリ
かん	カン
かんきつ類	カンキツルイ
かんしょ	カンショ
かんと	カント
がいや	ガイヤ
がき	ガキ
がご	ガゴ
がさ	ガサ
がそ	ガソ
がた	ガタ
がま	ガマ
がま口	ガマグチ
がら	ガラ
がらがら	ガラガラ
がらん	ガラン
がりがり	ガリガリ
がん	ガン
きうい	キウイ
きき	キキ
きく	キク
きさく	キサク
きさつ	キサツ
きしゃご	キシャゴ
きた	キタ
きっと	キット
きまり	キマリ
きもの	キモノ
きゅうり	キュウリ
きょうは	キョウハ
きょほ	キョホ
きらん	キラン
きり	キリ
きりきり舞い	キリキリマイ
きりん	キリン
きると	キルト
きんかん	キンカン
き意	キイ
き抜	キヌケ
き立	キダテ
き者	キシャ
ぎざぎざ	ギザギザ
ぎだ	ギダ
ぎんが	ギンガ
ぎ足	ギソク
くいん	クイン
くさび	クサビ
くし	クシ
くせ	クセ
くだもの	クダモノ
くちばし	クチバシ
くちゃくちゃ	クチャクチャ
くに	クニ
くも	クモ
くら	クラ
くらし	クラシ
くらんべりー	クランベリー
くり	クリ
くるみ	クルミ
く味	クミ
く海	クカイ
く間	クカン
ぐみ	グミ
ぐる	グル
ぐれーぷふるーつ	グレープフルーツ
けい	ケイ
けいけん	ケイケン
けいさつ	ケイサツ
けいさつかん	ケイサツカン
けいざい	ケイザイ
けいじばん	ケイジバン
けいば	ケイバ
けいま	ケイマ
けいむしょ	ケイムショ
けいれき	ケイレキ
けが	ケガ
けさ	ケサ
けし	ケシ
けしき	ケシキ
けち	ケチ
けちん坊	ケチンボウ
けつえき	ケツエキ
けらい	ケライ
けり	ケリ
けんか	ケンカ
けんじょ	ケンジョ
けんちん汁	ケンチンジル
けんぽう	ケンポウ
けんり	ケンリ
げすと	ゲスト
げた	ゲタ
げる	ゲル
げろ	ゲロ
げーと	ゲート
こ	コ
こいつ	コイツ
こうこ	コウコ
こおどり	コオドリ
ここいら	ココイラ
ここなっつ	ココナッツ
こころ	ココロ
こごと	コゴト
こごみ	コゴミ
こしらえ	コシラエ
こすと	コスト
こだわり	コダワリ
ことば	コトバ
こども	コドモ
このへん	コノヘン
このまま	コノママ
この世	コノヨ
この辺	コノヘン
こぶし	コブシ
こま結び	コマムスビ
これしき	コレシキ
これだけ	コレダケ
ころり	コロリ
ころん	コロン
ごとし	ゴトシ
ごはん	ゴハン
ごぼう	ゴボウ
ごまかし	ゴマカシ
ごま油	ゴマアブラ
ごみ	ゴミ
ごめん	ゴメン
ごらん	ゴラン
ごろつき	ゴロツキ
ご免	ゴメン
ご存じ	ゴゾンジ
ご存知	ゴゾンジ
ご機嫌	ゴキゲン
ご気	ゴキ
ご沙汰	ゴサタ
ご膳	ゴゼン
ご苦労	ゴクロウ
ご覧	ゴラン
ご酒	ゴシュ
ご飯	ゴハン
さい	サイ
さい子	サイシ
さかさ	サカサ
さかな	サカナ
さかん	サカン
さき	サキ
さけ	サケ
さげん	サゲン
さして	サシテ
さし身	サシミ
さそり	サソリ
さつまいも	サツマイモ
さなだ虫	サナダムシ
さば	サバ
さま	サマ
さや	サヤ
さようし	サヨウシ
さらい	サライ
さらん	サラン
さる	サル
さんずい	サンズイ
さんま	サンマ
ざくろ	ザクロ
ざくろ口	ザクログチ
ざま	ザマ
ざらめ	ザラメ
ざる	ザル
ざるそば	ザルソバ
ざんしょう	ザンショウ
しか	シカ
しき	シキ
しきもの	シキモノ
しごき	シゴキ
ししとう	シシトウ
ししゃも	シシャモ
しずか	シズカ
しそ	シソ
した	シタ
したり顔	シタリガオ
した腹	シタハラ
しだ	シダ
しっぽ	シッポ
しどころ	シドコロ
しない	シナイ
しながら	シナガラ
しびれ	シビレ
しま	シマ
しまり	シマリ
しみ	シミ
しめじ	シメジ
しめ出し	シメダシ
しゃいん	シャイン
しゃくい	シャクイ
しゃけ	シャケ
しゃつ	シャツ
しゃぶしゃぶ	シャブシャブ
しゃべる	シャベル
しゃもじ	シャモジ
しゃれ	シャレ
しや	シヤ
しゅん	シュン
しょ	ショ
しょう	ショウ
しょうが	ショウガ
しょくよう	ショクヨウ
しよう	シヨウ
しら	シラ
しらす	シラス
しるし	シルシ
しん	シン
しーく	シーク
じい	ジイ
じいさん	ジイサン
じいろ	ジイロ
じき	ジキ
じさ	ジサ
じじい	ジジイ
じた	ジタ
じっさい	ジッサイ
じゃがいも	ジャガイモ
じゃっく	ジャック
じゃどう	ジャドウ
じゃま	ジャマ
じゃよく	ジャヨク
じろ	ジロ
じ候	ジコウ
じ前	ジマエ
じ機	ジキ
す	ス
すいか	スイカ
すか	スカ
すかし	スカシ
すき	スキ
すきや	スキヤ
すき焼き	スキヤキ
すぎ原	スギハラ
すぐり	スグリ
すこし	スコシ
すすき	ススキ
すそ	スソ
すたー	スター
すだち	スダチ
すで	スデ
すと	スト
すね	スネ
すべ	スベ
すべり	スベリ
すまし汁	スマシジル
すまた	スマタ
すもも	スモモ
すり	スリ
すんで	スンデ
ずく	ズク
ずぼら	ズボラ
ずぼん	ズボン
ずり	ズリ
ずる	ズル
ずれ	ズレ
せがれ	セガレ
せこんど	セコンド
せし	セシ
せり	セリ
せりふ	セリフ
せん	セン
せんばい	センバイ
せんべい	センベイ
ぜん	ゼン
ぜんまい	ゼンマイ
そいつ	ソイツ
そうそう	ソウソウ
そうに	ソウニ
そう勢	ソウゼイ
そう急	ソウキュウ
そう木	ソウモク
そう極	ソウキョク
そこい	ソコイ
そこら	ソコラ
そぞろ心	ソゾロゴコロ
そっちのけ	ソッチノケ
そっぷ	ソップ
そのため	ソノタメ
そのほか	ソノホカ
そのもの	ソノモノ
その物	ソノモノ
その道	ソノミチ
そば	ソバ
そら豆	ソラマメ
そら音	ソラネ
そり	ソリ
それなり	ソレナリ
それや	ソレヤ
そん	ソン
たい	タイ
たいがい	タイガイ
たいこ	タイコ
たい人	タイジン
たくない	タクナイ
たけ	タケ
たこ	タコ
たこ焼き	タコヤキ
たそう	タソウ
たたり	タタリ
ただ	タダ
ただ今	タダイマ
たち	タチ
たちまち	タチマチ
たて	タテ
たどう	タドウ
たに行	タニイキ
たのみ	タノミ
たのもし	タノモシ
たは	タハ
たび	タビ
たま	タマ
たまごやき	タマゴヤキ
たまねぎ	タマネギ
ため	タメ
ためいき	タメイキ
ためし	タメシ
たより	タヨリ
たらのめ	タラノメ
たる	タル
たれ	タレ
たん	タン
たんこぶ	タンコブ
たんび	タンビ
た人	タニン
た作	タヅクリ
た元	タゲン
た家	タケ
た意	タイ
た方	タホウ
た様	タヨウ
た毛	タモウ
た物	タブツ
た罪	タザイ
た者	タシャ
た行	タコウ
た趣味	タシュミ
た遊び	タアソビ
た雨	タウ
だい	ダイ
だいこん	ダイコン
だい紙	ダイシ
だし	ダシ
だだっ子	ダダッコ
だて	ダテ
だもの	ダモノ
だる	ダル
だれか	ダレカ
だれかれ	ダレカレ
だんだら	ダンダラ
だんまり	ダンマリ
ちぇりー	チェリー
ちまた	チマタ
ちゃん	チャン
ちゃんぽん	チャンポン
ちゅうと	チュウト
ちょく	チョク
ちょん	チョン
ちょん髷	チョンマゲ
ちり	チリ
ちんげんさい	チンゲンサイ
ぢ	ヂ
ついで	ツイデ
つうご	ツウゴ
つきもの	ツキモノ
つき出し	ツキダシ
つき合	ツキアイ
つき番	ツキバン
つぎ	ツギ
つくつく法師	ツクツクボウシ
つけ	ツケ
つけたり	ツケタリ
つけ焼	ツケヤキ
つっかけ	ツッカケ
つづら	ツヅラ
つて	ツテ
つながり	ツナガリ
つな引	ツナヒキ
つぶ	ツブ
つま	ツマ
つまり	ツマリ
つむじ	ツムジ
つもり	ツモリ
つらさ	ツラサ
つらら	ツララ
つる	ツル
つるはし	ツルハシ
つれづれ	ツレヅレ
つんつるてん	ツンツルテン
てい	テイ
ていさい	テイサイ
ていたらく	テイタラク
ておし	テオシ
てこ	テコ
てへん	テヘン
てりや	テリヤ
てんにょ	テンニョ
てんぷら	テンプラ
でおくれ	デオクレ
でせん	デセン
でどこ	デドコ
では	デハ
でま	デマ
でもの	デモノ
とい	トイ
とうしろ	トウシロ
とうもろこし	トウモロコシ
ときどき	トキドキ
とく	トク
とく例	トクレイ
とぐろ	トグロ
とこ	トコ
ところ	トコロ
ところてん	トコロテン
とせん	トセン
とそ	トソ
とちめんぼう	トチメンボウ
とっく	トック
とっさ	トッサ
とど	トド
となり	トナリ
とら	トラ
とり	トリ
とりで	トリデ
とれい	トレイ
とろう	トロウ
どうり	ドウリ
どこか	ドコカ
どの人	ドノヒト
どぶ鼠	ドブネズミ
どら	ドラ
どらごん	ドラゴン
どらやき	ドラヤキ
どりあん	ドリアン
どん	ドン
どんどこ	ドンドコ
どんぶり	ドンブリ
ないか	ナイカ
ないと	ナイト
ないや	ナイヤ
ないん	ナイン
ない所	ナイトコロ
なうて	ナウテ
なおのこと	ナオノコト
なか	ナカ
なぐさみ	ナグサミ
なげ	ナゲ
なし	ナシ
なし崩し	ナシクズシ
なじみ	ナジミ
なす	ナス
なぜだか	ナゼダカ
なっつ	ナッツ
なつみかん	ナツミカン
なにがし	ナニガシ
なべ	ナベ
なめくじ	ナメクジ
なめこ	ナメコ
なり	ナリ
なりて	ナリテ
なり手	ナリテ
なんだい	ナンダイ
なんと	ナント
なんど	ナンド
なんべん	ナンベン
なんぼ	ナンボ
におい	ニオイ
にし	ニシ
にせもの	ニセモノ
にほんとう	ニホントウ
にわし	ニワシ
にわとこ	ニワトコ
にんじん	ニンジン
にんにく	ニンニク
ぬすみ	ヌスミ
ぬた	ヌタ
ぬるま湯	ヌルマユ
ねえさん	ネエサン
ねえや	ネエヤ
ねぎ	ネギ
ねじ	ネジ
ねだん	ネダン
ねばり	ネバリ
のうさぎ	ノウサギ
のがれ	ノガレ
のし	ノシ
のち	ノチ
のっぺらぼう	ノッペラボウ
のど	ノド
のり	ノリ
のろけ	ノロケ
のろし	ノロシ
はいい	ハイイ
はいはい	ハイハイ
はいろう	ハイロウ
はえ	ハエ
はか	ハカ
はがき	ハガキ
はきだめ	ハキダメ
はこん	ハコン
はさ	ハサ
はさみ	ハサミ
はしがき	ハシガキ
はじ	ハジ
はじまり	ハジマリ
はずれ	ハズレ
はた	ハタ
はたき	ハタキ
はたち	ハタチ
はだし	ハダシ
はちみつ	ハチミツ
はっく	ハック
はっさく	ハッサク
はて	ハテ
はと	ハト
はなして	ハナシテ
はふ	ハフ
はへん	ハヘン
はぼう	ハボウ
はま	ハマ
はやて	ハヤテ
ば	バ
ばい	バイ
ばか	バカ
ばけ	バケ
ばってん	バッテン
ばっと	バット
ばつ	バツ
ばなな	バナナ
ばね	バネ
ばら	バラ
ばらばら	バラバラ
ばれいしょ	バレイショ
ばん	バン
ぱいなっぷる	パイナップル
ぱっしょん	パッション
ぱぱいや	パパイヤ
ひたかくし	ヒタカクシ
ひた隠し	ヒタカクシ
ひだ	ヒダ
ひと	ヒト
ひとたち	ヒトタチ
ひとり	ヒトリ
ひとりご	ヒトリゴ
ひとり口	ヒトリグチ
ひな	ヒナ
ひのき	ヒノキ
ひび	ヒビ
ひび割れ	ヒビワレ
ひま	ヒマ
ひま人	ヒマジン
ひま潰し	ヒマツブシ
ひも	ヒモ
ひろく	ヒロク
びし	ビシ
びら	ビラ
びろうど	ビロウド
びわ	ビワ
びん	ビン
ぴんと	ピント
ふぃんがー	フィンガー
ふき	フキ
ふくろう	フクロウ
ふた	フタ
ふたり	フタリ
ふた言目	フタコトメ
ふだん着	フダンギ
ふち	フチ
ふつ	フツ
ふところ	フトコロ
ふみ	フミ
ふり出し	フリダシ
ふるーつ	フルーツ
ふん	フン
ぶどう	ブドウ
ぶら	ブラ
ぶらっく	ブラック
ぶらんこ	ブランコ
ぶるーべりー	ブルーベリー
ぶん	ブン
ぶんぶん	ブンブン
ぶ人	ブジン
へ	ヘ
へり	ヘリ
へん	ヘン
へん年	ヘンネン
べた	ベタ
べた一面	ベタイチメン
べっかんこう	ベッカンコウ
べったく	ベッタク
べつ	ベツ
べら	ベラ
べらんめえ	ベランメエ
べりー	ベリー
ぺてん	ペテン
ほうがんびいき	ホウガンビイキ
ほうほう	ホウホウ
ほうれんそう	ホウレンソウ
ほうれん草	ホウレンソウ
ほおずき	ホオズキ
ほこり	ホコリ
ほととぎす	ホトトギス
ほとり	ホトリ
ほのか	ホノカ
ほん	ホン
ほんとう	ホントウ
ほん当	ホントウ
ぼうと	ボウト
ぼくが	ボクガ
ぼや	ボヤ
ぼろ	ボロ
ぼーと	ボート
ぽか	ポカ
ぽじ	ポジ
ぽんぽん	ポンポン
まあ	マア
まき	マキ
まぐろ	マグロ
まじない	マジナイ
ます	マス
ますから	マスカラ
ますくめろん	マスクメロン
まずさ	マズサ
またたく間	マタタクマ
また上	マタウエ
また旅	マタタビ
まち	マチ
まったん	マッタン
まってい	マッテイ
まっ黒	マックロ
まつ	マツ
まとも	マトモ
まなこ	マナコ
まぶ	マブ
まほう	マホウ
まめ	マメ
まら	マラ
まり	マリ
まるめろ	マルメロ
まわり	マワリ
まんごすちん	マンゴスチン
まんごー	マンゴー
まんじゅう	マンジュウ
まん中	マンナカ
ま向い	マムカイ
みじん	ミジン
みそ	ミソ
みたらし	ミタラシ
みち	ミチ
みつば	ミツバ
みに	ミニ
みみず	ミミズ
みやげ	ミヤゲ
みょうが	ミョウガ
みりん	ミリン
み込	ミコミ
むかし	ムカシ
むかっ腹	ムカッパラ
むき	ムキ
むき出し	ムキダシ
むしろ	ムシロ
むすこ	ムスコ
むべ	ムベ
むま	ムマ
むら	ムラ
め	メ
めい	メイ
めいた	メイタ
めいめい	メイメイ
めし	メシ
めず	メズ
めた	メタ
めたる	メタル
めたん	メタン
めだし	メダシ
めった	メッタ
めて	メテ
めど	メド
めまい	メマイ
めりんす	メリンス
めろん	メロン
めん	メン
めん子	メンコ
め見	メミエ
め顔	メガオ
もうあ	モウア
もうい	モウイ
もうけ	モウケ
もうこ	モウコ
もうだん	モウダン
もう火	モウカ
もし	モシ
もち	モチ
もったい	モッタイ
もってのほか	モッテノホカ
もっとも	モットモ
もと	モト
もなか	モナカ
もの	モノ
ものさし	モノサシ
もの事	モノゴト
もの思い	モノオモイ
もひ	モヒ
もみ	モミ
もも	モモ
もやし	モヤシ
もよう	モヨウ
もろ	モロ
もろ肌	モロハダ
もんか	モンカ
もんじゃ	モンジャ
も本	モホン
やあ	ヤア
やおや	ヤオヤ
やから	ヤカラ
やきそば	ヤキソバ
やくざ	ヤクザ
やく本	ヤクホン
やけ	ヤケ
やけど	ヤケド
やご	ヤゴ
やっこ	ヤッコ
やっとこ	ヤットコ
やまもも	ヤマモモ
やみ	ヤミ
やめ	ヤメ
やもう	ヤモウ
やりど	ヤリド
やり口	ヤリクチ
やり場	ヤリバ
やり方	ヤリカタ
やる気	ヤルキ
やれ	ヤレ
やろう	ヤロウ
ゆ	ユ
ゆうべ	ユウベ
ゆかり	ユカリ
ゆかん	ユカン
ゆき	ユキ
ゆきおんな	ユキオンナ
ゆず	ユズ
ゆるし	ユルシ
よいよい	ヨイヨイ
よく槽	ヨクソウ
よけい	ヨケイ
よごれ	ヨゴレ
よし	ヨシ
よそ目	ヨソメ
よだつ	ヨダツ
よどみ	ヨドミ
よみ	ヨミ
よみで	ヨミデ
よりまし	ヨリマシ
らい	ライ
らいい	ライイ
らいち	ライチ
らいてい	ライテイ
らいむ	ライム
らい者	ライシャ
らし	ラシ
らす	ラス
らずべりー	ラズベリー
らっきょう	ラッキョウ
らめ	ラメ
らん	ラン
らん方	ランポウ
らーめん	ラーメン
りし	リシ
りそう	リソウ
りっしんべん	リッシンベン
りょう	リョウ
りんご	リンゴ
り下	リカ
り付	リツキ
り外	リガイ
るい	ルイ
れい	レイ
れっど	レッド
れつい	レツイ
れもん	レモン
ろ	ロ
ろいろ	ロイロ
ろう	ロウ
ろうと	ロウト
ろう苦	ロウク
ろれつ	ロレツ
ろーぷ	ロープ
わ	ワ
わいる	ワイル
わかり	ワカリ
わがまま	ワガママ
わが家	ワガヤ
わが宿	ワガヤド
わが身	ワガミ
わき	ワキ
わく	ワク
わけ	ワケ
わさび	ワサビ
わざ	ワザ
わし	ワシ
わら	ワラ
わり	ワリ
わる	ワル
わる者	ワルモノ
われがち	ワレガチ
アイス	アイス
アイスクリーム	アイスクリーム
アイソクラチス	アイソクラチス
アイナメ	アイナメ
アイロニー	アイロニー
アオイ	アオイ
アオキ	アオキ
アカエイ	アカエイ
アカマツ	アカマツ
アクセント	アクセント
アケビ	アケビ
アサガオ	アサガオ
アザミ	アザミ
アザラシ	アザラシ
アシカ	アシカ
アジ	アジ
アジサイ	アジサイ
アスダロ	アスダロ
アスナロ	アスナロ
アスパラガス	アスパラガス
アップル	アップル
アップルパイ	アップルパイ
アトリエ	アトリエ
アナゴ	アナゴ
アニメ	アニメ
アネサ	アネサ
アネモネ	アネモネ
アハハハ	アハハハ
アハハハハ	アハハハハ
アパート	アパート
アヒル	アヒル
アブ	アブ
アブサン	アブサン
アブラナ	アブラナ
アボカド	アボカド
アマチュア	アマチュア
アマリリス	アマリリス
アムビション	アムビション
アメンボ	アメンボ
アヤメ	アヤメ
アユ	アユ
アライグマ	アライグマ
アリクイ	アリクイ
アリストートル	アリストートル
アルコール	アルコール
アルコールラムプ	アルコールラムプ
アルバム	アルバム
アルパカ	アルパカ
アルマジロ	アルマジロ
アル中	アルチュウ
アンコウ	アンコウ
アンズ	アンズ
アンチピリン	アンチピリン
アンチモニー	アンチモニー
アントニム	アントニム
アーキミジス	アーキミジス
アーモンド	アーモンド
イエス	イエス
イカ	イカ
イカサマ師	イカサマシ
イゴイスト	イゴイスト
イサイフミ	イサイフミ
イサキ	イサキ
イスキラス	イスキラス
イタチ	イタチ
イチイ	イチイ
イチゴ	イチゴ
イチジク	イチジク
イチョウ	イチョウ
イッテンフエダイ	イッテンフエダイ
イトスギ	イトスギ
イナゴ	イナゴ
イヌ	イヌ
イノシシ	イノシシ
イボタノキ	イボタノキ
イモリ	イモリ
イヤ	イヤ
イヨー	イヨー
イラクサ	イラクサ
イルカ	イルカ
イワシ	イワシ
イワナ	イワナ
インク	インク
インコ	インコ
インスピレーション	インスピレーション
インターネット	インターネット
インデアン	インデアン
インデックス	インデックス
インデヤン	インデヤン
ウィルヒョウ	ウィルヒョウ
ウェア	ウェア
ウエハース	ウエハース
ウグイ	ウグイ
ウコギ	ウコギ
ウサギ	ウサギ
ウシ	ウシ
ウスターソース	ウスターソース
ウソ	ウソ
ウツボ	ウツボ
ウナギ	ウナギ
ウマ	ウマ
ウミウシ	ウミウシ
ウミガメ	ウミガメ
ウム	ウム
ウメ	ウメ
ウメモドキ	ウメモドキ
ウルシ	ウルシ
ウンピョウ	ウンピョウ
エクレア	エクレア
エゴイスト	エゴイスト
エゴイズム	エゴイズム
エゴノキ	エゴノキ
エゾマツ	エゾマツ
エゾヤマザクラ	エゾヤマザクラ
エビ	エビ
エピクテタス	エピクテタス
エピローグ	エピローグ
エヘッ	エヘッ
エヘヘヘヘ	エヘヘヘヘ
エヘン	エヘン
エホバ	エホバ
エルリントン	エルリントン
エンジュ	エンジュ
エーデルワイス	エーデルワイス
オイスターソース	オイスターソース
オウゴン	オウゴン
オウム	オウム
オオカミ	オオカミ
オオガハス	オオガハス
オオバコ	オオバコ
オガタマノキ	オガタマノキ
オコゼ	オコゼ
オタンチン	オタンチン
オットセイ	オットセイ
オディセー	オディセー
オトギリソウ	オトギリソウ
オホホホホホ	オホホホホホ
オムライス	オムライス
オムレツ	オムレツ
オランウータン	オランウータン
オリムパス	オリムパス
オリーブ	オリーブ
オレンジ	オレンジ
オント	オント
オンバ	オンバ
オーケストラ	オーケストラ
カエデ	カエデ
カエル	カエル
カカオ	カカオ
カキ	カキ
カキツバタ	カキツバタ
カサゴ	カサゴ
カスタード	カスタード
カステラ	カステラ
カタクリ	カタクリ
カタバミ	カタバミ
カチッカチッ	カチッカチッ
カッター	カッター
カツオ	カツオ
カツラ	カツラ
カツレツ	カツレツ
カトウ	カトウ
カトレア	カトレア
カナメモチ	カナメモチ
カニ	カニ
カバ	カバ
カバノキ	カバノキ
カフェ	カフェ
カフエ	カフエ
カフス	カフス
カブトガニ	カブトガニ
カブトムシ	カブトムシ
カボチャ	カボチャ
カマキリ	カマキリ
カマス	カマス
カマド	カマド
カマドウマ	カマドウマ
カメ	カメ
カモ	カモ
カモノハシ	カモノハシ
カヤ	カヤ
カラ	カラ
カラオケ	カラオケ
カラオケボックス	カラオケボックス
カラクリ	カラクリ
カラス	カラス
カラタチ	カラタチ
カラマツ	カラマツ
カリフラワー	カリフラワー
カリン	カリン
カルシウム	カルシウム
カルメ焼き	カルメヤキ
カルモチン	カルモチン
カレイ	カレイ
カレー	カレー
カレーライス	カレーライス
カワウソ	カワウソ
カワセミ	カワセミ
カワハギ	カワハギ
カンガルー	カンガルー
カンツバキ	カンツバキ
カード	カード
カーネーション	カーネーション
ガ	ガ
ガチョウ	ガチョウ
ガラクタ	ガラクタ
ガラス	ガラス
ガルガ	ガルガ
ガーベラ	ガーベラ
ガール	ガール
キイチゴ	キイチゴ
キウイ	キウイ
キキョウ	キキョウ
キク	キク
キザ	キザ
キシャゴ	キシャゴ
キタキツネ	キタキツネ
キツネ	キツネ
キヅタ	キヅタ
キハダ	キハダ
キャッチボール	キャッチボール
キャベツ	キャベツ
キャラボク	キャラボク
キャラメル	キャラメル
キャンディ	キャンディ
キャンプ	キャンプ
キュウリ	キュウリ
キュー	キュー
キューピッド	キューピッド
キョウチクトウ	キョウチクトウ
キンイブキ	キンイブキ
キンカン	キンカン
キンギョ	キンギョ
キンセンカ	キンセンカ
キンポウゲ	キンポウゲ
キンモクセイ	キンモクセイ
ギャー	ギャー
ギーギーフーギーギーフー	ギーギーフーギーギーフー
クイズ	クイズ
クジャク	クジャク
クジラ	クジラ
クスノキ	クスノキ
クズ	クズ
クッキー	クッキー
クヌギ	クヌギ
クマ	クマ
クミン	クミン
クラゲ	クラゲ
クラス	クラス
クラッカー	クラッカー
クラブ	クラブ
